A,Cleaned_Medicine_Name
Adventure First Aid,Adventure First Aid
Advil Allergy Congestion,Advil Allergy Congestion
Advil Allergy Sinus,Advil Allergy Sinus
Advil Childrens,Advil Childrens
Advil Childrens Allergy Sinus,Advil Childrens Allergy Sinus
Advil Childrens Cold,Advil Childrens Cold
Advil Cold Sinus,Advil Cold Sinus
Advil Cold Sinus Caplets,Advil Cold Sinus Caplets
Advil Cold Sinus Liqui,Advil Cold Sinus Liqui
Advil Cold Sinus Liquigels,Advil Cold Sinus Liquigels
Advil Congestion Relief,Advil Congestion Relief
Advil Infants Concentrated,Advil Infants Concentrated
Advil Liquigels,Advil Liquigels
Advil Migraine,Advil Migraine
Advil Multisymptom Cold,Advil Multisymptom Cold
Advil Pediatric,Advil Pediatric
Advil Pm,Advil Pm
Advil Pm Liquigels,Advil Pm Liquigels
Advil Sinus Congestion Pain,Advil Sinus Congestion Pain
Adynovate Recombinant,Adynovate Recombinant
Adyphren Amp,Adyphren Amp
Adyphren Amp Ii,Adyphren Amp Ii
Adyphren Ii,Adyphren Ii
Adzenys Er,Adzenys Er
Adzenys Xrodt,Adzenys Xrodt
Aero Otic Hc,Aero Otic Hc
Aerrane Inhalation Anesthetic,Aerrane Inhalation Anesthetic
Afamelanotide Acetate,Afamelanotide Acetate
Afatinib Dimaleate,Afatinib Dimaleate
Afeditab Cr,Afeditab Cr
Afinitor Disperz,Afinitor Disperz
Afirm X,Afirm X
Aflibercept Ophthalmic,Aflibercept Ophthalmic
Afluria  Formula,Afluria  Formula
Afluria Pf Pediatric Quadrivalent ,Afluria Pf Pediatric Quadrivalent
Afluria Pf Quadrivalent ,Afluria Pf Quadrivalent
Afluria Quadrivalent,Afluria Quadrivalent
Afree Prenatal,Afree Prenatal
African Basil,African Basil
African Mango,African Mango
African Mint,African Mint
Afrin  Hour,Afrin  Hour
Afrin  Hour Extra Moisturizing,Afrin  Hour Extra Moisturizing
Afrin Childrens,Afrin Childrens
Afrin Menthol Spray,Afrin Menthol Spray
Afrin Nasal Spray,Afrin Nasal Spray
Afrin No Drip Sinus,Afrin No Drip Sinus
Afrin Nodrip Extra Moisture,Afrin Nodrip Extra Moisture
Afrin Nodrip Original,Afrin Nodrip Original
Afrin Saline Nasal Mist,Afrin Saline Nasal Mist
Afrin Sinus,Afrin Sinus
Afstyla Recombinant,Afstyla Recombinant
Aftertest Topical Pain Relief,Aftertest Topical Pain Relief
Ag Profen,Ag Profen
Agalsidase Beta,Agalsidase Beta
Ahchew Ii,Ahchew Ii
Ahfs Di Essentials Abbreviation List,Ahfs Di Essentials Abbreviation List
Ahfs Di Essentials Users Guide,Ahfs Di Essentials Users Guide
Air Compressed,Air Compressed
Airduo Digihaler,Airduo Digihaler
Airduo Respiclick,Airduo Respiclick
Akdilate Ophthalmic,Akdilate Ophthalmic
Akpentolate Ophthalmic,Akpentolate Ophthalmic
Akwa Tears,Akwa Tears
Akynzeo For,Akynzeo For
Ala Hist Ir,Ala Hist Ir
Ala Hist Pe,Ala Hist Pe
Ala Quin,Ala Quin
Ala Scalp,Ala Scalp
Alagesic Lq,Alagesic Lq
Alahist Ac,Alahist Ac
Alahist Cf,Alahist Cf
Alahist Dhc,Alahist Dhc
Alahist Dm,Alahist Dm
Alahist Lq,Alahist Lq
Alascalp Hp,Alascalp Hp
Alascalp Lotion,Alascalp Lotion
Alavert Allergy Sinus,Alavert Allergy Sinus
Alavert D,Alavert D
Alavert D Hour Allergy Sinus,Alavert D Hour Allergy Sinus
Alavertd Hour,Alavertd Hour
Alaway Childrens Allergy,Alaway Childrens Allergy
Alba Sunblock Mineral Aloe Vanilla Spf ,Alba Sunblock Mineral Aloe Vanilla Spf
Albatussin Pediatric,Albatussin Pediatric
Albuked Human,Albuked Human
Albumin Human,Albumin Human
Albuminar Human,Albuminar Human
Alburx Human,Alburx Human
Albutein Human,Albutein Human
Albuterol Aerosol,Albuterol Aerosol
Albuterol Digital Inhalation,Albuterol Digital Inhalation
Albuterol Extendedrelease,Albuterol Extendedrelease
Albuterol Inhalation,Albuterol Inhalation
Albuterol Inhalation Aerosol,Albuterol Inhalation Aerosol
Albuterol Ipratropium Inhalation,Albuterol Ipratropium Inhalation
Albuterol Sulfate,Albuterol Sulfate
Alcaftadine Ophthalmic,Alcaftadine Ophthalmic
Alclometasone Dipropionate,Alclometasone Dipropionate
Alcohol Dextrose,Alcohol Dextrose
Alcohol In Dextrose,Alcohol In Dextrose
Alcortin A,Alcortin A
Aldex D,Aldex D
Aldex G,Aldex G
Aldex Gs Dm,Aldex Gs Dm
Alectinib Hydrochloride,Alectinib Hydrochloride
Alendronate Cholecalciferol,Alendronate Cholecalciferol
Alendronate Sodium,Alendronate Sodium
Aleve Arthritis,Aleve Arthritis
Aleve Cold Sinus,Aleve Cold Sinus
Aleve Pm,Aleve Pm
Aleve Sinus Headache,Aleve Sinus Headache
Aleved Sinus Cold,Aleved Sinus Cold
Aleved Sinus Headache,Aleved Sinus Headache
Alferon N,Alferon N
Alfuzosin Hydrochloride,Alfuzosin Hydrochloride
Alglucosidase Alfa,Alglucosidase Alfa
Aliclen Shampoo,Aliclen Shampoo
Align Jr For Kids,Align Jr For Kids
Aliskiren Amlodipine,Aliskiren Amlodipine
Aliskiren Hemifumarate,Aliskiren Hemifumarate
Aliskiren Hydrochlorothiazide,Aliskiren Hydrochlorothiazide
Alkanna Root,Alkanna Root
Alkaseltzer Antigas,Alkaseltzer Antigas
Alkaseltzer Cold Sinus,Alkaseltzer Cold Sinus
Alkaseltzer Extra Strength,Alkaseltzer Extra Strength
Alkaseltzer Heartburn Gas,Alkaseltzer Heartburn Gas
Alkaseltzer Morning Relief,Alkaseltzer Morning Relief
Alkaseltzer Plus Cold,Alkaseltzer Plus Cold
Alkaseltzer Plus Cold Cough,Alkaseltzer Plus Cold Cough
Alkaseltzer Plus Cold Formula,Alkaseltzer Plus Cold Formula
Alkaseltzer Plus Cold Liquigel,Alkaseltzer Plus Cold Liquigel
Alkaseltzer Plus Cold Sinus,Alkaseltzer Plus Cold Sinus
Alkaseltzer Plus Flu Liquigels,Alkaseltzer Plus Flu Liquigels
Alkaseltzer Plus Flubody,Alkaseltzer Plus Flubody
Alkaseltzer Plus Nighttime Cold,Alkaseltzer Plus Nighttime Cold
Alkaseltzer Plusd Sinuscold,Alkaseltzer Plusd Sinuscold
Alkeran Iv,Alkeran Iv
All Day Allergyd,All Day Allergyd
All Day Pain Relief,All Day Pain Relief
All Day Relief,All Day Relief
Allan Tannate Pediatric,Allan Tannate Pediatric
Allanhist Pdx,Allanhist Pdx
Allegra Odt,Allegra Odt
Allegrad  Hour,Allegrad  Hour
Allerest  Hour Nasal Spray,Allerest  Hour Nasal Spray
Allerest Maximum Strength,Allerest Maximum Strength
Allerest No Drowsiness,Allerest No Drowsiness
Allerest Pe,Allerest Pe
Allergenic Extract,Allergenic Extract
Allergenic Extract Grain Mill Dust,Allergenic Extract Grain Mill Dust
Allergenic Extract Sterile Diluent,Allergenic Extract Sterile Diluent
Allergenic Extracts,Allergenic Extracts
Allergy Dn Ii,Allergy Dn Ii
Allergy Dn Pe,Allergy Dn Pe
Allergy Itch Ease,Allergy Itch Ease
Allergy Multisymptom,Allergy Multisymptom
Allergy Multisymptom Daynight,Allergy Multisymptom Daynight
Allergy Multisymptom Daytime,Allergy Multisymptom Daytime
Allergy Relief,Allergy Relief
Allergy Reliefd,Allergy Reliefd
Allergy Reliefnasal Decongest,Allergy Reliefnasal Decongest
Allergy Sinus Medication Extra Strength,Allergy Sinus Medication Extra Strength
Allernaze Nasal Spray,Allernaze Nasal Spray
Allerx Dose Pack,Allerx Dose Pack
Allerx Dose Pack Df,Allerx Dose Pack Df
Allerx Dose Pack Pe,Allerx Dose Pack Pe
Allfen C,Allfen C
Allfen Cd,Allfen Cd
Allfen Cx,Allfen Cx
Allres Pd,Allres Pd
Almondalmond Oil,Almondalmond Oil
Almotriptan Malate,Almotriptan Malate
Alocril Eent,Alocril Eent
Aloe Grande,Aloe Grande
Aloe Polysaccharides,Aloe Polysaccharides
Aloe Vera,Aloe Vera
Aloe Vera Burn Relief Spray With Lidocaine,Aloe Vera Burn Relief Spray With Lidocaine
Aloe Vesta Antifungal,Aloe Vesta Antifungal
Aloe Vesta N Antifungal,Aloe Vesta N Antifungal
Alogliptin Benzoate,Alogliptin Benzoate
Alogliptin Metformin,Alogliptin Metformin
Alogliptin Pioglitazone,Alogliptin Pioglitazone
Alora Skin,Alora Skin
Alora Transdermal,Alora Transdermal
Alosetron Hydrochloride,Alosetron Hydrochloride
Alpha Lipoic Acid,Alpha Lipoic Acid
Alpha Pro Dental,Alpha Pro Dental
Alpha Proteinase Inhibitor,Alpha Proteinase Inhibitor
Alpha Proteinase Inhibitor Human,Alpha Proteinase Inhibitor Human
Alphagan P,Alphagan P
Alphagan P Eent,Alphagan P Eent
Alphanine Sd,Alphanine Sd
Alphaproteinase Inhibitor For,Alphaproteinase Inhibitor For
Alphaquin Hp,Alphaquin Hp
Alprazolam Extended Release,Alprazolam Extended Release
Alprazolam Extendedrelease,Alprazolam Extendedrelease
Alprazolam Intensol,Alprazolam Intensol
Alprazolam Odt,Alprazolam Odt
Alprazolam Orally Disintegrating,Alprazolam Orally Disintegrating
Alprazolam Xr,Alprazolam Xr
Alprostadil Injectable Transurethral,Alprostadil Injectable Transurethral
Alprostadil Intraurethral,Alprostadil Intraurethral
Alprostadil Urethral,Alprostadil Urethral
Alprostadil Urethral Suppository,Alprostadil Urethral Suppository
Alquamx Acne Therapy,Alquamx Acne Therapy
Alrex Ophthalmic,Alrex Ophthalmic
Altacaine Ophthalmic,Altacaine Ophthalmic
Altachlore Ophthalmic,Altachlore Ophthalmic
Altafrin Ophthalmic,Altafrin Ophthalmic
Altamist Spray,Altamist Spray
Altarussin Cf,Altarussin Cf
Altiamoxi Clav,Altiamoxi Clav
Altiipratropium With Preservative,Altiipratropium With Preservative
Altisalbutamol Inhalation Aerosol,Altisalbutamol Inhalation Aerosol
Aluminum Acetate,Aluminum Acetate
Aluminum Chloride Hexahydrate,Aluminum Chloride Hexahydrate
Aluminum Hydroxide,Aluminum Hydroxide
Aluminum Hydroxide Magnesium Carbonate,Aluminum Hydroxide Magnesium Carbonate
Aluminum Hydroxide Magnesium Carbonate Chewable,Aluminum Hydroxide Magnesium Carbonate Chewable
Aluminum Hydroxide Magnesium Hydroxide,Aluminum Hydroxide Magnesium Hydroxide
Aluminum Hydroxide Magnesium Hydroxide Chewable,Aluminum Hydroxide Magnesium Hydroxide Chewable
Aluminum Hydroxide Magnesium Trisilicate,Aluminum Hydroxide Magnesium Trisilicate
Alupent Inhalation,Alupent Inhalation
Alvesco Hfa Inhalation,Alvesco Hfa Inhalation
Amantadine Extendedrelease,Amantadine Extendedrelease
Amantadine Hydrochloride,Amantadine Hydrochloride
Amantadine Usp,Amantadine Usp
Amazonian Basil,Amazonian Basil
Ambator Diclofenac,Ambator Diclofenac
Ambator Lidocaine,Ambator Lidocaine
Ambi Fade,Ambi Fade
Ambien Cr,Ambien Cr
Ambifed Cd,Ambifed Cd
Amcinonide Lotion,Amcinonide Lotion
Amcinonide Topical Application,Amcinonide Topical Application
Ameriderm Perishield,Ameriderm Perishield
Amethia Extendedcycle,Amethia Extendedcycle
Amethia Lo,Amethia Lo
Amethia Lo Extendedcycle,Amethia Lo Extendedcycle
Amibid La,Amibid La
Amifampridine Phosphate,Amifampridine Phosphate
Amikacin Liposome,Amikacin Liposome
Amikacin Liposome Inhalation,Amikacin Liposome Inhalation
Amikacin Sulfate,Amikacin Sulfate
Amikin Pediatric,Amikin Pediatric
Amiloride Hydrochloride,Amiloride Hydrochloride
Amiloride Hydrochlorothiazide,Amiloride Hydrochlorothiazide
Amino Acid,Amino Acid
Amino Acids,Amino Acids
Amino Acids Electrolytes In Dextrose With Calcium,Amino Acids Electrolytes In Dextrose With Calcium
Amino Acids In Dextrose,Amino Acids In Dextrose
Aminobenzoate Potassium,Aminobenzoate Potassium
Aminocaproic Acid,Aminocaproic Acid
Aminohippurate Sodium,Aminohippurate Sodium
Aminolevulinic Acid,Aminolevulinic Acid
Aminolevulinic Acid Hydrochloride,Aminolevulinic Acid Hydrochloride
Aminosalicylate Sodium,Aminosalicylate Sodium
Aminosalicylic Acid,Aminosalicylic Acid
Aminosyn Ii,Aminosyn Ii
Aminosyn Ii Dextrose,Aminosyn Ii Dextrose
Aminosyn Ii Sulfite Free,Aminosyn Ii Sulfite Free
Aminosyn Iielectrolytes,Aminosyn Iielectrolytes
Aminosyn M,Aminosyn M
Amiodarone Hydrochloride,Amiodarone Hydrochloride
Amitriptyline Chlordiazepoxide,Amitriptyline Chlordiazepoxide
Amitriptyline Hydrochloride,Amitriptyline Hydrochloride
Amitriptyline Perphenazine,Amitriptyline Perphenazine
Amlexanox Mucous Membrane,Amlexanox Mucous Membrane
Amlodipine Atorvastatin,Amlodipine Atorvastatin
Amlodipine Benazepril,Amlodipine Benazepril
Amlodipine Besylate,Amlodipine Besylate
Amlodipine Celecoxib,Amlodipine Celecoxib
Amlodipine Hydrochlorothiazide,Amlodipine Hydrochlorothiazide
Amlodipine Olmesartan,Amlodipine Olmesartan
Amlodipine Olmesartan Medoxomil,Amlodipine Olmesartan Medoxomil
Amlodipine Perindopril,Amlodipine Perindopril
Amlodipine Telmisartan,Amlodipine Telmisartan
Amlodipine Valsartan,Amlodipine Valsartan
Ammens Medicated Topical Application,Ammens Medicated Topical Application
Ammens Original Medicated,Ammens Original Medicated
Ammens Shower Fresh,Ammens Shower Fresh
Ammonia Inhalants,Ammonia Inhalants
Ammonia N,Ammonia N
Ammoniated Mercury,Ammoniated Mercury
Ammonium Chloride,Ammonium Chloride
Ammonium Lactate,Ammonium Lactate
Ammonium Lactate Urea,Ammonium Lactate Urea
Ammonium Molybdate,Ammonium Molybdate
Amoxicillin Chewable,Amoxicillin Chewable
Amoxicillin Clavulanate,Amoxicillin Clavulanate
Amoxicillin Clavulanate Chewable,Amoxicillin Clavulanate Chewable
Amoxicillin Clavulanate Er,Amoxicillin Clavulanate Er
Amoxicillin Clavulanate Potassium,Amoxicillin Clavulanate Potassium
Amoxicillin Extendedrelease,Amoxicillin Extendedrelease
Amoxicillin Tablets For,Amoxicillin Tablets For
Amoxicillinclavulanate Chewable,Amoxicillinclavulanate Chewable
Amoxicillinclavulanate Extendedrelease,Amoxicillinclavulanate Extendedrelease
Amoxil Pediatric,Amoxil Pediatric
Amphetamine Aspartate,Amphetamine Aspartate
Amphetamine Dextroamphetamine,Amphetamine Dextroamphetamine
Amphetamine Orally Disintegrating,Amphetamine Orally Disintegrating
Amphetamine Sulfate,Amphetamine Sulfate
Amphetamine Sulfate Er,Amphetamine Sulfate Er
Amphotericin B,Amphotericin B
Amphotericin B Cholesteryl Sulfate Complex,Amphotericin B Cholesteryl Sulfate Complex
Amphotericin B Lipid Complex,Amphotericin B Lipid Complex
Amphotericin B Liposomal,Amphotericin B Liposomal
Amphotericin B Liposome,Amphotericin B Liposome
Ampicillin Sodium,Ampicillin Sodium
Ampicillin Sodium Sulbactam Sodium,Ampicillin Sodium Sulbactam Sodium
Ampicillin Sulbactam,Ampicillin Sulbactam
Ampicillin Trihydrate,Ampicillin Trihydrate
Amprolium P,Amprolium P
Amvisc Plus,Amvisc Plus
Amyl Nitrite,Amyl Nitrite
Amyl Nitrite Inhalant,Amyl Nitrite Inhalant
Amyl Nitrite Inhalation,Amyl Nitrite Inhalation
Amytal Sodium,Amytal Sodium
Anabolic Steroid,Anabolic Steroid
Anacin Advanced Headache Formula,Anacin Advanced Headache Formula
Anacin Af,Anacin Af
Anacin Aspirin Free,Anacin Aspirin Free
Anagrelide Hydrochloride,Anagrelide Hydrochloride
Analex Topicalrectal,Analex Topicalrectal
Analgesic Balm Greaseless,Analgesic Balm Greaseless
Analgesic Combination,Analgesic Combination
Analpram Advanced,Analpram Advanced
Analpram E,Analpram E
Analpram Hc,Analpram Hc
Anamantle Hc,Anamantle Hc
Anaplex Dm,Anaplex Dm
Anasept Antimicrobial,Anasept Antimicrobial
Anasept Cleanser,Anasept Cleanser
Anatrast Paste,Anatrast Paste
Anbesol Extra Strength,Anbesol Extra Strength
Andehist Dm Nr,Andehist Dm Nr
Andexanet Alfa,Andexanet Alfa
Androgel Pump,Androgel Pump
Androgel Pump  Gactuation,Androgel Pump  Gactuation
Anestacon Jelly,Anestacon Jelly
Anestacon Topical Application,Anestacon Topical Application
Anesthesia Si,Anesthesia Si
Angiotensin Ii,Angiotensin Ii
Angiotensin Ii Acetate,Angiotensin Ii Acetate
Animal Allergens,Animal Allergens
Animal Hair,Animal Hair
Animi With Vitamin D,Animi With Vitamin D
Annovera Ring,Annovera Ring
Anodyne Lpt,Anodyne Lpt
Anoro Ellipta,Anoro Ellipta
Anthelcide Eq Paste,Anthelcide Eq Paste
Anthralin Shampoo,Anthralin Shampoo
Anthrax Immune Globulin,Anthrax Immune Globulin
Anthrax Immune Globulin Iv,Anthrax Immune Globulin Iv
Anthrax Vaccine,Anthrax Vaccine
Anthrax Vaccine Adsorbed,Anthrax Vaccine Adsorbed
Antibiotic Otic,Antibiotic Otic
Antibiotic Plus Pain Relief,Antibiotic Plus Pain Relief
Anticholinergic Combination,Anticholinergic Combination
Anticholinergics Antispasmodics,Anticholinergics Antispasmodics
Anticoagulant Citrate Dextrose A,Anticoagulant Citrate Dextrose A
Anticoagulant Citrate Phosphate Dextrose Adenine,Anticoagulant Citrate Phosphate Dextrose Adenine
Anticoagulant Citrate Phosphate Double Dextrose,Anticoagulant Citrate Phosphate Double Dextrose
Anticoagulant Sodium Citrate,Anticoagulant Sodium Citrate
Antigas Ultra Strength,Antigas Ultra Strength
Antiglaucoma Agent,Antiglaucoma Agent
Antihemophilic Factor,Antihemophilic Factor
Antihemophilic Factor Human,Antihemophilic Factor Human
Antihemophilic Factor Pegylatedaucl,Antihemophilic Factor Pegylatedaucl
Antihemophilic Factor Porcine Sequence,Antihemophilic Factor Porcine Sequence
Antihemophilic Factor Recombinant,Antihemophilic Factor Recombinant
Antihemophilic Factor Viii Von Willebrand Factor,Antihemophilic Factor Viii Von Willebrand Factor
Antihemophilic Factorvon Willebrand Factor Complex,Antihemophilic Factorvon Willebrand Factor Complex
Antihemophilic Factorvwf Complex,Antihemophilic Factorvwf Complex
Antihemophilic Von Willebrand Factor Complex,Antihemophilic Von Willebrand Factor Complex
Antihistaminedecongestant Combination,Antihistaminedecongestant Combination
Antiinflammatory Drugs,Antiinflammatory Drugs
Antiinhibitor Coagulant Complex,Antiinhibitor Coagulant Complex
Antiitch Maximum Strength,Antiitch Maximum Strength
Antiitch Steroid Free,Antiitch Steroid Free
Antimicrobial Cleanser,Antimicrobial Cleanser
Antipyrine Benzocaine Ear,Antipyrine Benzocaine Ear
Antipyrine Benzocaine Otic,Antipyrine Benzocaine Otic
Antipyrinebenzocaineglycerinzinc Ear,Antipyrinebenzocaineglycerinzinc Ear
Antisepsis Bolus,Antisepsis Bolus
Antiseptic Skin Cleanser,Antiseptic Skin Cleanser
Antithrombin Alfa,Antithrombin Alfa
Antithrombin Iii,Antithrombin Iii
Antithymocyte Equine,Antithymocyte Equine
